aesthetic,related
Art Nouveau,"['Aestheticism', 'Arts and Crafts Movement', 'Art Academia', 'Ballet Academia', 'Bohemian', 'Fairy Tale', 'Fairycore', 'Modernisme', 'Romantic Academia']"
Arts and Crafts Movement,"['Victorian', 'Art Nouveau', 'Modernisme', 'Pre-Raphaelite']"
Asian Baby Girl,"['Baddie', 'Femme Fatale', 'Sukeban', 'Boujee']"
Athlete,"['Health Goth', 'High School Dream', 'Scrapper']"
Atompunk,"['Cyberpunk', 'Decopunk', 'Dieselpunk', 'Modernism', 'Nuclear', 'Punk', 'Raygun Gothic', 'Retro-Futurism', 'Rocketpunk']"
Auroracore,"['Angelcore', 'Art Nouveau', 'Dreamy', 'Ethereal', 'Fantasy', 'Fairycore', 'Fairy Kei', 'Fairy Tale', 'Pastel Goth', 'Pixiecore', 'Princesscore', 'Rainbowcore', 'Snowdrop', 'Spacecore', 'Sparklecore', 'Unicorncore']"
Australiana,"['Beach Bunny', 'Vacation Dadcore', 'Kiwiana', 'Surf Crush']"
Australian Outback,"['Australiana', 'Desertwave', 'Telstracore']"
Autumn,"['Naturecore', 'Twilightcore', 'Tuscan Rustic', 'Comfy/Cozy', 'Halloween', 'Winter', 'Summer', 'Spring', 'Autumn Academia']"
Autumn Academia,"['Autumn', 'Dark Academia', 'Gothic', 'Halloween', 'Red Academia', 'Winter Academia']"
Avant Apocalypse,"['Cybercore', 'Cyberparadism', 'Fairy Grunge', 'Plaguecore', 'Post-Apocalyptic', 'Soft Apocalypse', 'Solarpunk', 'Antique Grunge']"
Avant-garde,"['Dau al Set', 'LOLcore', 'Modernisme', 'Motomami', 'Nouveau R%C3%A9alisme', 'Opium', 'Zenitism']"
Babycore,"['Babygirl', 'Kawaii', 'Kidcore', 'Melodycore', 'Milk', 'Sanriocore', 'Yume Kawaii', 'Delicate Sweet']"
Babygirl,"['Babycore', 'Baddie', 'Bubblegum Bitch', 'Bubblegum Coquette', 'Dolly Girl', 'Erokawa', 'E-Girl', 'Lovecore', 'Nymphet', 'Neko', 'Pastel Academia', 'Pastel Goth', 'Princesscore', 'Sanriocore', 'Slutcore', 'Softie', 'Unicorncore', 'Trailer Park Princess']"
Back-to-School,"['Kidcore', 'Late 2000s Elementary School', 'Nostalgiacore']"
Baddie,"['Barbiecore', 'Bimbocore', 'Cherry Emoji Twitter', 'Femme Fatale', 'McBling']"
Bakala,"['Belgian New Beat', 'Club', 'Cybergoth', 'Hands Up', 'New Wave', 'Las Movidas', 'Party Animal', 'Post-Punk', 'Psychedelica', 'Raver', 'Tecktonik', 'Wixa']"
Balkan Violence Tumblr,"['Bondage', 'Hatecore', 'Morute', 'Necrotrap', 'Northern Irish Muralism', 'Larpercore', 'Paramilitary', 'Southern Gothic', 'Terrorwave']"
Ballet Academia,"['Art Nouveau', 'Art Academia', 'Balletcore', 'Dark Academia', 'Light Academia', 'Theatre Academia', 'Ethereal', 'Pink Parisian', 'Romantic Academia', 'Romantic Goth', 'Fairycore', 'Fantasy', 'Dark Fantasy']"
Balletcore,"['Ballet Academia', 'Coquette', 'Coquette Academia', 'Cult Party Kei', 'Dollcore', 'Dollette', 'French Girly', 'Girly Girl', 'Larme Kei']"
Ballroom culture,"['Belgian New Beat', 'Club Kids', 'Disco', 'Queercore']"
Bankara,"['Yanki', 'Japanese New Left', 'Taisho Roman']"
Barbiecore,"['Basic Girl', 'Bimbocore', 'Bratzcore', 'Bubblegum Bitch', 'Bubblegum Dance', 'Coconut Girl', 'Cyber Stylin%27', 'Equestrian', 'Girly Girl', 'Holosexual', 'Hyperpop', 'McBling', 'Sanriocore', 'Unicorncore']"
Bardcore,"['Dragoncore', 'Fantasy', 'Pirate', 'Kingcore', 'Queencore', 'Princecore', 'Princesscore', 'Knightcore']"
Baroque,"['Art Academia', 'Artcore', 'Chicha', 'Classicism', 'Ethereal', 'Golden Hour', 'Hollywood Regency', 'Kingcore', 'Modernisme', 'Pearly', 'Princecore', 'Princesscore', 'Queencore', 'New Spanish Catholic Girl', 'Rococo', 'Royalcore', 'Spanish Golden Age']"
Basic Girl,"['Barbiecore', 'Milipili', 'VSCO Preppy', 'That Girl', 'Christian Girl Autumn']"
Basque Radical Rock,"['2 Tone', 'Alternative', 'Caricaturism', 'Metal', 'Las Movidas', 'Paramilitary', 'Punk', 'Rock', 'Skinheads']"
Bastardcore,"['Alien', 'Captchacore', 'Crackhead', 'Edgy Meme', 'ElsaGate', 'Revcore', 'Scrapper', 'UrBling', 'Weirdcore']"
Bauhaus,"['Avant-garde', 'Constructivism', 'De Stijl', 'Purism', 'Modernism', 'Suprematism', 'Zenitism']"
Beach Bunny,"['Poolcore', 'Vacation Dadcore', 'Vaporwave', 'VSCO', 'Seapunk', 'Summer', 'Surf Crush']"
Beach Day,"['Heatwave', 'Summer', 'Tropical', 'VSCO Preppy']"
Beach Girl,"['VSCO Preppy', 'Coconut Girl', 'Surf Crush', 'That Girl', 'Tropical']"
Beatnik,"['Dark Academia', 'Hippie', 'Hipster', 'Mod', 'Post-Punk', 'Y%C3%A9-y%C3%A9 Girl']"
Belgian New Beat,"['Acid Design', 'Acidwave', 'Bakala', 'Ballroom culture', 'Bondage', 'Club', 'Electro Swing', 'Gabber', 'Goth', 'Hip-Hop', 'Hi-NRG', 'New Wave', 'Party Animal', 'Psychedelica', 'Punk', 'Raver', 'Tecktonik', 'Wixa']"
Biker,"['Bosozoku', 'Punk', 'Metalcore', 'Metal', 'Motomami', 'Gyaru', 'Grunge']"
Bimbocore,"['Alternative', 'Baddie', 'Barbiecore', 'Bratzcore', 'Blingeecore', 'Bubblegum Bitch', 'Bubblegum Coquette', 'Himbocore', 'Hyperpop', 'McBling', 'Sparklecore']"
Biopunk,"['Acid Pixie', 'Cybergoth', 'Cyberparadism', 'Cyberprep', 'Cyberpunk', 'Dieselpunk', 'Glowwave', 'Nanopunk', 'Science Academia', 'Seapunk', 'Solarpunk', 'Steampunk']"
Bizarro Fiction,"['Hydrogen', 'Imaginarium', 'Retro-Futurism', 'Surrealism', 'Weirdcore']"
Black-Holed Meme,['Surreal Memer']
Black Metal,"['Metal', 'Death Metal', 'Dungeon Synth']"
Bleak Crush,"['Cybercore', 'Cyber Grunge', 'Emo', 'Grunge', 'McBling', 'MTV 2 Overcast', 'Ocean Grunge', 'Pale Grunge', 'Trillwave', 'Urbancore', 'UrBling', '2K1', 'Y2K']"
Blingeecore,"['Animecore', 'Bimbocore', 'Club Kids', 'Cyber Stylin%27', 'Denpa', 'Drain', 'Emo', 'Frutiger Metro', 'Goth Punk', 'Gra%C5%BCynacore', 'Lilac Femme', 'Breakcore', 'Nostalgiacore', 'Rainbowcore', 'Randumb', 'Raver', 'Scene', 'Sigilkore', 'Sparklecore', 'Technoneko2000', 'Teenpunk', 'Tecktonik', 'Webcore', 'Weirdcore', 'Welwitschia Goth', 'Xpiritualism']"
Blokecore,"['Anglo Gothic', 'Blokette', 'Britpop', 'Urbancore']"
Blokette,"['Blokecore', 'Coquette', 'Waif', 'Balletcore']"
Bloomcore,"['Cottagecore', 'Dreamy', 'Earthcore', 'Fairy Academia', 'Fairycore', 'Golden Hour', 'Green Academia', 'Honeycore', 'Lovecore', 'Mossy', 'Naturecore', 'Romantic Academia', 'Spring', 'Virgo%27s Tears', 'Warmcore', 'Witchcore']"
Blue Night,"['After Hours', 'Anime New Moon', 'Cyberpunk', 'Dazecore', 'Mizuiro', 'Lo-Fi', 'Techwear']"
B-Movie Horror,"['Horror', 'Devilcore', 'Gorecore', 'Gothic', 'Halloween', 'Vampire', 'Werewolf', 'Witchcore']"
Bodikon,"['City Pop', 'Italo Disco', 'Takenokozoku', 'Raver', 'Gyaru', 'Kogal']"
Bohemian,"['Ethno-Chic', 'Hipness Purgatory', 'Hippie', 'Global Village Coffeehouse', '2K5']"
Bombardier,"['Bro', 'Cani', 'Chav', 'Cocalar', 'Dizela%C5%A1i', 'Dresiarz', 'Gopnik', 'Racaille']"
"Bon Chic, Bon Genre","['Chic Modernist', 'Old Money', 'Pijo', 'Preppy', 'Sloanie']"
Bondage,"['Babygirl', 'Belgian New Beat', 'E-Boy', 'E-Girl', 'Ero-Guro', 'Erokawa', 'Gachimuchi', 'Goth', 'Pin-up', 'Raxet']"
Bookstore Girl,"['Autumn', 'Classic Academia', 'Dark Academia', 'Downtown Girl', 'I-Spy', 'Light Academia', 'Warmcore']"
Bootleg Game,"['8-Bit', 'Dollar Store Vernacular', 'ElsaGate', 'Fotonight Web', 'Gamercore', 'Low Poly', 'Shanzhai', 'So Retro', 'Trashy Raver', 'Xpiritualism']"
Bosozoku,"['Ah Beng', 'Dizela%C5%A1i', 'Yanki', 'Sukeban']"
Boujee,"['Baddie', 'Casino', 'Cayetana', 'Chic Modernist', 'Cleancore', 'Clean Girl', 'Corporate', 'Femme Fatale', 'Grifes', 'Haute Couture', 'Hip-Hop', 'Lo-Fi', 'New Money', 'Night Luxe', 'Pijo', 'Pink Parisian', 'R%26B', 'Sparklecore', 'Tomato Girl Summer', 'Urbancore']"
Boy Next Door,"['Cottagecore', 'Gachimuchi', 'Manly Men', 'Normcore']"
Boystyle,"['Aristocrat', 'Dandy', 'Lolita', 'Gothic Lolita', 'Visual Kei', 'Victorian', 'Victorian Goth', 'Steampunk', 'Steampunk', 'Gothic', 'Goth', 'Vampire']"
Brazilian Pop Bar,[]
Breakcore,"['Artcore', 'Denpa', 'Gabber', 'Hands Up', 'Raver', 'Sextrance', 'Acid Design', 'Animecore', 'Blingeecore', 'Cybercore', 'Dokukawaii', 'Ero-Guro', 'Gen X Soft Club', 'Glitchcore', 'Metalheart', 'Webcore']"
Bratzcore,"['2K1', '2K5', '2K7', 'Alternative', 'Avant-garde', 'Babygirl', 'Baddie', 'Boujee', 'Barbiecore', 'Bimbocore', 'Beach Bunny', 'Beach Day', 'Beach Girl', 'Blingeecore', 'Bohemian', 'Bubblegum Bitch', 'Coconut Girl', 'Cyber Stylin%27', 'Chromecore', 'Emo', 'E-Girl', 'ElectroPop 08', 'Girly Girl', 'Glam Girl', 'Glamorous Los Angeles', 'Goth', 'Gothic', 'Gyaru', 'Grunge', 'Harajuku Fashion', 'Haute Couture', 'Hippie', 'Hipster', 'Hip-Hop', 'Hyperpop', 'Indie', 'Kawaii', 'McBling', 'Night Luxe', 'Punk', 'R%26B', 'Scene', 'Surf Crush', 'Snow Bunny', 'Skater', 'Stargirl', 'Teenage Dream', 'Teenpunk', 'Teenqueen', 'Urbancore', 'Y2K']"
Bright Tertiaries,"['Corporate', 'Corporate Memphis', 'Dark Aero', 'DORFic', 'Flat Design', 'Fotonight Web', 'Four Colors', 'Frutiger Aero', 'Frutiger Aurora', 'Frutiger Eco', 'Frutiger Metro', 'Helvetica Aqua Aero', 'Liminal Space', 'Memphis Design', 'Minimalism', 'Nostalgiacore', 'Renewable Corporate Futurism', 'Skeuomorphism', 'Superflat Pop', 'Technozen', 'Vectorflourish', 'Y2K']"
Britpop,"['Alternative', 'Grunge', 'New Wave', 'Poppare', 'Rock']"
Bro,"['Americana', 'Athlete', 'Bastardcore', 'Chav', 'Country', 'Jersey Shore', 'Normcore', 'Party Animal', 'Preppy', 'Scrapper', 'Stripcore', 'Teenage Dream', 'Vacation Dadcore']"
Bronzepunk,"['Cyberpunk', 'Sandalpunk', 'Steampunk']"
Brutal Industrial,"['Chromecore', 'Fe%C3%ADsmo', 'Grunge', 'McBling', 'Nu-Metal', 'Rage HD', 'Slam Pop', 'Rivethead', 'The WB Crush', 'Total Afternoon Live', 'Urbancore', 'UrBling', 'Y2K', '2K1']"
Bubble Bujo,"['Sparklecore', 'Animecore', 'Cyberdelic', 'Hyperpop', 'Kawaii', 'Kidcore', 'Lovecore', 'Sanriocore', 'Scrapbook']"
Bubbleglam,"['Cheiron Crush', 'Frutiger Aero', 'McBling', 'MTV Green Sky', 'MTV 2 Overcast', 'Shiny Suit 97', 'The Box 96', 'Ultraviolet Crush', 'VSCO', 'Y2K']"
Bubble Goth,"['Goth', 'Soft Macabre', 'Pastel Goth']"
Bubblegum Bitch,"['Baddie', 'Barbiecore', 'Bubblegum Coquette', 'Cherry Emoji Twitter', 'Femme Fatale', 'McBling', 'Sparklecore', 'Bimbocore', 'Cyber Stylin%27']"
Bubblegum Coquette,"['Babycore', 'Babygirl', 'Bimbocore', 'Bubblegum Bitch', 'Bubblegum Dance', 'Candyland', 'Coconut Girl', 'Coquette', 'Delicate Sweet', 'Dollette', 'Dolly Girl', 'Girly Girl', 'Kidcore', 'McBling', 'Nostalgiacore', 'Nymphet', 'Sweet Lolita', 'Trailer Park Princess', 'Yume Kawaii', 'Y2K']"
Bubblegum Dance,"['2000s Virtual Singer', 'Animecore', 'Barbiecore', 'Cartooncore', 'Cutecore', 'Cybercore', 'Cyberpop', 'Disco Polo', 'Frutiger Metro', 'Hands Up', 'Kidcore', 'Motomami', 'Nostalgiacore', 'OtoMAD', 'Raver', 'Shanzhai', 'Shibuya Punk', 'Silicon Dreams', 'Technoneko2000']"
Bubblegum Witch,"['Baddie', 'Bubble Goth', 'Bubblegum Bitch', 'Kawaii', 'Pastel Academia', 'Witchcore', 'Witchy Academia', 'Yume Kawaii']"
Buckle Bunny,"['Western', 'Country', 'Prairie', 'Snow Bunny', 'Beach Bunny', 'Dollette', 'Coquette', 'Farmer%27s Daughter', 'Trailer Park Princess']"
Burlesque,['Spanish Golden Age']
Busukawaii,"['Kawaii', 'Gurokawa', 'Internet Awesomesauce', 'Weirdcore', 'Wholesome Meme']"
Cabincore,"['Adventurecore', 'Campcore', 'Comfy/Cozy', 'Cottagecore', 'Dark Academia', 'Northerness', 'Forestpunk', 'Goblincore', 'Naturecore']"
Cagole,"['Chav', 'Choni', 'Cocalar', 'Gyaru', 'McBling', 'Racaille', 'Raxet']"
Camp,"['American Kitsch', 'Club Kids', 'Dark Academia', 'FantasY2K', 'Gachimuchi', 'Glam Rock', 'Golden Age of Detective Fiction', 'Goth', 'Gorecore', 'Gyaru', 'Halloween', 'Hot Topic', 'Horror', 'Jersey Shore', 'Kitschy', 'Mallgoth', 'Mall Ninja', 'Maximalism', 'McBling', 'Neo-Pop', 'Old Hollywood', 'Pin-up', 'Pop Art', 'Queer Villainy', 'Trailer Park Princess', 'Villaincore']"
Campcore,"['Cabincore', 'Scoutcore', 'Adventurecore', 'Hikecore', 'Comfy/Cozy', 'Naturecore', 'Earthcore']"
Candyland,[]
Cani,"['Ah Beng', 'Bombardier', 'Chav', 'Choni', 'Cocalar', 'Dizela%C5%A1i', 'Dresiarz', 'Espa%C3%B1olada', 'Gangsta Rap', 'Gopnik', 'Hypebeast', 'Pokem%C3%B3n', 'Racaille', 'Raxet', 'Reggaetonero']"
Captchacore,"['Arabfunny', 'Bastardcore', 'Cybercore', 'Digital Oddity', 'Dollar Store Vernacular', 'EXEcore', 'Weirdcore', 'Xpiritualism']"
Caricaturism,"['Beatnik', 'Cartooncore', 'Grime Art', 'Grotesque', 'Hipness Purgatory', 'Indiecraft', 'MS Paint', 'Urbancore']"
Cartelcore,"['City Pop', 'Drugcore', 'Glowwave', 'Synthwave', 'Tropical Disco', 'Vaporwave', 'Vacation Dadcore']"
Cartooncore,"['Animecore', 'Bubblegum Dance', 'Geek', 'Lo-Fi', 'LOLcore', 'Nostalgiacore', 'Ligne Claire', 'Rubberhose', 'Vaporwave', 'Wholesome Meme', 'Wimmelbilderbuch']"
Casino,"['Boujee', 'Cartelcore', 'Drugcore', 'Lounge', 'McBling', 'Stripcore', 'Synthwave', 'Vacation Dadcore']"
